[datetime.datetime(2018, 11, 29, 16, 21, 51, 78399), '[[-1, -1], [13, 1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]', -1.0]
[datetime.datetime(2018, 11, 29, 16, 22, 16, 718141), '[[-1, -1], [13, 1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]', -1.0]
[datetime.datetime(2018, 11, 29, 16, 22, 30, 614806), '[[-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [5, 3], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]', -1.0]
[datetime.datetime(2018, 11, 29, 16, 22, 41, 704338), '[[-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [19, 3], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]', -1.0]
[datetime.datetime(2018, 11, 29, 16, 22, 52, 822420), '[[-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [1, 3], [-1, -1], [-1, -1], [-1, -1]]', -1.0]
[datetime.datetime(2018, 11, 29, 16, 23, 21, 217286), '[[-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [2, 1], [-1, -1], [-1, -1]]', -1.0]
[datetime.datetime(2018, 11, 29, 16, 23, 28, 245661), '[[17, 0], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [1, 2], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]', -1.0]
[datetime.datetime(2018, 11, 29, 16, 23, 40, 675658), '[[-1, -1], [5, 3], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]', -1.0]
[datetime.datetime(2018, 11, 29, 16, 24, 0, 493710), '[[-1, -1], [17, 3], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]', -1.0]
[datetime.datetime(2018, 11, 29, 16, 24, 8, 688225), '[[-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [17, 2], [17, 2], [-1, -1], [-1, -1]]', -1.0]
[datetime.datetime(2018, 11, 29, 16, 24, 37, 12613), '[[-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [17, 2], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]', -1.0]
[datetime.datetime(2018, 11, 29, 16, 27, 15, 937448), '[[-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [2, 3], [17, 0], [-1, -1], [19, 2], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]', -1.0]
[datetime.datetime(2018, 11, 29, 16, 27, 44, 541920), '[[-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [2, 0], [-1, -1], [1, 0], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]', -1.0]
[datetime.datetime(2018, 11, 29, 16, 42, 24, 521752), '[[-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [17, 0], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [12, 2], [-1, -1], [-1, -1]]', -1.0]
